district,area,post_code,charge,,
Dhaka,Fakirapul (Dhaka),1000,69,,
Dhaka,Kakrail (Dhaka),1217,69,,
Dhaka,Naya Paltan (Dhaka),1000,69,,
Dhaka,Bijoynagar (Paltan),1000,69,,
Dhaka,Press Club (Dhaka),1000,69,,
Dhaka,High Court (Dhaka),1000,69,,
Dhaka,Dhaka University,1205,69,,
Dhaka,Dhaka Medical College,1100,69,,
Dhaka,Bongo Bondhu Avenue (Puran Dhaka),1100,69,,
Dhaka,Kazi Nazrul Islam Avenue(Dhaka),1205,69,,
Dhaka,Kawran Bazar(Dhaka),1215,69,,
Dhaka,Minto Road (Dhaka),1217,69,,
Dhaka,Shantinagar (Dhaka),1217,69,,
Dhaka,Shantibag (Dhaka),1217,69,,
Dhaka,Baily Road (Dhaka),1217,69,,
Dhaka,Minto Road(Dhaka),1217,69,,
Dhaka,BSMMU Hospital-Shahbag(Dhaka),1205,69,,
Dhaka,Eskaton Garden Road(Dhaka),1217,69,,
Dhaka,Eskaton(Dhaka),1217,69,,
Dhaka,Moghbazar(Dhaka),1217,69,,
Dhaka,Mouchak (Malibagh),1217,69,,
Dhaka,Malibagh (Dhaka),1217,69,,
Dhaka,Rampura(Dhaka),1219,69,,
Dhaka,Shahbag(Dhaka),1205,69,,
Dhaka,Katabon(Dhaka),1205,69,,
Dhaka,Hatirpool(Dhaka),1205,69,,
Dhaka,Bashabo(Dhaka),1214,69,,
Dhaka,Khilgaon(Dhaka),1219,69,,
Dhaka,Middle Bashabo(Dhaka),1214,69,,
Dhaka,Goran(Dhaka),1219,69,,
Dhaka,Madartek(Dhaka),1219,69,,
Dhaka,Manik Nagar (Dhaka),,69,,
Dhaka,Shahjahanpur(Dhaka),1214,69,,
Dhaka,Banasree(Dhaka),1219,69,,
Dhaka,Meradia(Dhaka),1219,69,,
Dhaka,Boroitola Bazar (Natun Bazar),,69,,
Narayanganj,Bhulta (Rupganj),,69,,
Dhaka,Mugda (Dhaka),1214,69,,
Dhaka,Golapbag (Dhaka),,69,,
Dhaka,Jatrabari(Dhaka),1236,69,,
Dhaka,Hatirjheel Thana (Dhaka),,69,,
Dhaka,Bangla Motor(Dhaka),1217,69,,
Dhaka,Paribag(Dhaka),1205,69,,
Dhaka,Bakshibazar (Puran Dhaka),1100,69,,
Dhaka,Elephant Road(Dhaka),1205,69,,
Dhaka,Kathalbagan(Dhaka),1205,69,,
Dhaka,Malibagh Taltola(Dhaka),1219,69,,
Dhaka,Central Road(Dhanmodi),1205,69,,
Dhaka,Sabujbag Thana(Dhaka),1214,69,,
Dhaka,Habibullah Bahar University(Dhaka),1217,69,,
Dhaka,Dolaikhal (Puran Dhaka),1100,69,,
Dhaka,Shegunbagicha (Dhaka),1217,69,,
Dhaka,Rajarbag police lines(Dhaka),1217,69,,
Dhaka,Babubazar (Puran Dhaka),1100,69,,
Dhaka,Islampur(Puran Dhaka),1100,69,,
Dhaka,Imamgonj (Puran Dhaka),1100,69,,
Dhaka,Nayabazar  (Dhaka),1100,69,,
Dhaka,Zigatola(Dhanmodi),1209,69,,
Dhaka,West Kazipara(Mirpur),1216,69,,
Dhaka,West Shewrapara(Mirpur),1216,69,,
Dhaka,Kalshi(Mirpur),1216,69,,
Dhaka,Sutrapur (Puran Dhaka),1100,69,,
Dhaka,Kamrangichar(Dhaka),1211,69,,
Dhaka,Purana Paltan (Dhaka),1000,69,,
Dhaka,Shyampur(Jatrabari),1204,69,,
Dhaka,Dholaipar(Puran Dhaka),1236,69,,
Dhaka,Monipuri Para(Farmgate),1215,69,,
Dhaka,Bosila Bridge(Dhaka),1207,69,,
Dhaka,Shonir Akhra(Dhaka),1362,69,,
Dhaka,Mirpur 2 (Dhaka ),1216,69,,
Dhaka,Bongshal (Puran Dhaka),1100,69,,
Dhaka,Siddweswari (Dhaka),1217,69,,
Dhaka,Nakhalpara (Tejgoan),1208,69,,
Dhaka,Sector 18 (Uttara),,69,,
Dhaka,Joar Shahara (Kuril),1229,69,,
Dhaka,Science Lab(Dhaka),1205,69,,
Dhaka,Sobhanbag(Dhanmondi),1215,69,,
Dhaka,ECB Chattar(Mirpur),1216,69,,
Dhaka,Arambag (Motijheel),1223,69,,
Dhaka,Armanitola (Puran Dhaka),1100,69,,
Dhaka,Islambag (Puran Dhaka),1100,69,,
Dhaka,Kamarpara(Uttara),1230,69,,
Dhaka,Mitford (Puran Dhaka),1100,69,,
Dhaka,Shakhari Bazar (Puran Dhaka),1100,69,,
Dhaka,Katherpol (Puran Dhaka),1100,69,,
Dhaka,Bangla Bazar  (Puran Dhaka),1100,69,,
Dhaka,Patuatuly (Puran Dhaka),1100,69,,
Dhaka,Nandipara(Dhaka),1214,69,,
Dhaka,Nazira Bazar (Puran Dhaka),1100,69,,
Dhaka,Gopibag Motijheel(Dhaka),1203,69,,
Dhaka,Shwamibag(Dhaka),1203,69,,
Dhaka,Sayedabad(Dhaka),1203,69,,
Dhaka,Sadarghat Dhaka,1100,69,,
Dhaka,Kaltabazar (Puran Dhaka),1100,69,,
Dhaka,Jurain(Dhaka),1204,69,,
Dhaka,Gendaria (Puran Dhaka),1100,69,,
Dhaka,RayerBag(Dhaka),1204,69,,
Dhaka,Faridabad (Jatrabari),1204,69,,
Dhaka,Matuail (Jatrabari),1361,69,,
Dhaka,Doniya (Dhaka),1236,69,,
Dhaka,Postogola (Jurain-Dhaka),1204,69,,
Dhaka,Konapara (Demra),1361,69,,
Dhaka,Dhaka Uddyan(Mohammadpur),1207,69,,
Dhaka,Shekhertek(Mohammadpur),1207,69,,
Dhaka,CWH,5999,69,,
Dhaka,Taltola-Agargaon(Dhaka),1216,69,,
Dhaka,Manda(Dhaka),1214,69,,
Dhaka,Zoo Road(Dhaka),1343,69,,
Dhaka,Shahjahanpur(Dhaka),1214,69,,
Dhaka,Haterrjheel(Dhaka),,69,,
Dhaka,Dhaka uddan(Mohammadpur),,69,,
Dhaka,Nobodoy(Mohammadpur),,69,,
Dhaka,Chad Uddan(Mohammadpur),,69,,
