District,Area,Post Code,Charge(1kg),Charge(2kg),Charge(3kg),,
Dhaka,Tipu Sultan Road(Puran Dhaka),1100,69,84,99,,
Dhaka,Siddique Bazar (Puran Dhaka),1100,69,84,99,,
Dhaka,Tikatuly (Dhaka),1203,69,84,99,,
Dhaka,Motijheel(Dhaka),1223,69,84,99,,
Dhaka,Nawabpur (Puran Dhaka),1100,69,84,99,,
Dhaka,Kaptan Bazar (Puran Dhaka),1100,69,84,99,,
Dhaka,Gulistan(Dhaka),1100,69,84,99,,
Dhaka,Bongo Bazar(Puran Dhaka),1100,69,84,99,,
Dhaka,Chankarpul(Puran Dhaka),1100,69,84,99,,
Dhaka,Palashi(Dhaka),1211,69,84,99,,
Dhaka,Dhakeshwari(Dhaka),1211,69,84,99,,
Dhaka,Kamalapur(Dhaka),1222,69,84,99,,
Dhaka,Wari (Puran Dhaka),1100,69,84,99,,
Dhaka,Narinda (Puran Dhaka),1100,69,84,99,,
Dhaka,Dainik Bangla Mor(Paltan),1000,69,84,99,,
Dhaka,Fakirapul (Dhaka),1000,69,84,99,,
Dhaka,Kakrail (Dhaka),1217,69,84,99,,
Dhaka,Naya Paltan (Dhaka),1000,69,84,99,,
Dhaka,Bijoynagar (Paltan),1000,69,84,99,,
Dhaka,Press Club (Dhaka),1000,69,84,99,,
Dhaka,High Court (Dhaka),1000,69,84,99,,
Dhaka,Dhaka University,1205,69,84,99,,
Dhaka,Dhaka Medical College,1100,69,84,99,,
Dhaka,Bongo Bondhu Avenue (Puran Dhaka),1100,69,84,99,,
Dhaka,Kazi Nazrul Islam Avenue(Dhaka),1205,69,84,99,,
Dhaka,Kawran Bazar(Dhaka),1215,69,84,99,,
Dhaka,Minto Road (Dhaka),1217,69,84,99,,
Dhaka,Shantinagar (Dhaka),1217,69,84,99,,
Dhaka,Shantibag (Dhaka),1217,69,84,99,,
Dhaka,Baily Road (Dhaka),1217,69,84,99,,
Dhaka,Minto Road(Dhaka),1217,69,84,99,,
Dhaka,BSMMU Hospital-Shahbag(Dhaka),1205,69,84,99,,
Dhaka,Eskaton Garden Road(Dhaka),1217,69,84,99,,
